Job Title,Salary Estimate,Rating,Location,Size,Type of ownership,Industry,Sector,job_state,company_age,python,spark,tableau
"Data Science Manager, Payment Acceptance - USA",79-131 ,4,"San Francisco, CA",1001 to 5000 employees,Company - Private,Internet,Information Technology, CA,10,1,0,0
Data Analyst,79-131 ,2.6,"Yakima, WA",501 to 1000 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care, WA,49,0,0,0
Data Scientist / Applied Mathematician,79-131 ,4.5,"Santa Cruz, CA",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology, CA,17,1,0,0
Machine Learning Engineer,79-131 ,4.8,"Boston, MA",201 to 500 employees,Company - Private,Computer Hardware & Software,Information Technology, MA,8,1,0,0
Data Scientist,79-131 ,3.9,United States,10000+ employees,Company - Private,Food & Beverage Manufacturing,Manufacturing,US,109,1,1,0
Patient Safety- Associate Data Scientist,79-131 ,4,"Gaithersburg, MD",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals, MD,107,1,0,0
Machine Learning Engineer,79-131 ,4.4,"Springfield, VA",51 to 200 employees,Company - Private,IT Services,Information Technology, VA,21,1,1,0
Senior Data Scientist,79-131 ,4.2,"Alexandria, VA",5001 to 10000 employees,Company - Public,Research & Development,Business Services, VA,52,1,1,1
Data Scientist,99-132 ,3.4,"Washington, DC",1001 to 5000 employees,Company - Private,Consulting,Business Services, DC,34,1,0,0
Staff Data Scientist - Analytics,99-132 ,4.4,"San Diego, CA",5001 to 10000 employees,Company - Public,Computer Hardware & Software,Information Technology, CA,37,0,0,0
Data Analytics Engineer,99-132 ,3.5,"Reston, VA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology, VA,5,1,1,0
"Data Scientist, Kinship - NYC/Portland",99-132 ,3.9,"New York, NY",10000+ employees,Company - Private,Food & Beverage Manufacturing,Manufacturing, NY,109,1,1,0
Senior Data Scientist,99-132 ,3.8,"Denver, CO",51 to 200 employees,Company - Private,Advertising & Marketing,Business Services, CO,11,0,0,0
Applied Technology Researcher / Data Scientist,99-132 ,3.5,"Washington, DC",1001 to 5000 employees,Other Organization,Banks & Credit Unions,Finance, DC,61,0,0,1
Machine Learning Engineer,99-132 ,4.4,"Aurora, CO",1 to 50 employees,Company - Private,Aerospace & Defense,Aerospace & Defense, CO,13,1,1,0
Health Data Scientist - Biomedical/Biostats,99-132 ,4.1,"Santa Barbara, CA",51 to 200 employees,Company - Private,Internet,Information Technology, CA,8,1,0,0
Senior Data Scientist,99-132 ,4,"San Francisco, CA",5001 to 10000 employees,Company - Public,Computer Hardware & Software,Information Technology, CA,38,1,1,0
Staff Data Scientist,99-132 ,4.4,"San Diego, CA",5001 to 10000 employees,Company - Public,Computer Hardware & Software,Information Technology, CA,37,0,0,0
Data Scientist,99-132 ,3.8,"Hill AFB, UT",501 to 1000 employees,Company - Private,Aerospace & Defense,Aerospace & Defense, UT,47,1,0,1
Sr Data Engineer (Sr BI Developer),99-132 ,3.2,"Chandler, AZ",501 to 1000 employees,Company - Public,Health Care Services & Hospitals,Health Care, AZ,39,0,0,0
Data Engineer,99-132 ,2.9,"Indianapolis, IN",51 to 200 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals, IN,9,1,0,0
Lead Data Scientist,99-132 ,4.1,"San Diego, CA",10000+ employees,Company - Public,Computer Hardware & Software,Information Technology, CA,81,1,0,0
Data Scientist,99-132 ,3.7,"Chantilly, VA",10000+ employees,Company - Public,Enterprise Software & Network Solutions,Information Technology, VA,7,1,0,0
RFP Data Analyst,99-132 ,3.2,"Nashville, TN",1001 to 5000 employees,Company - Public,Investment Banking & Asset Management,Finance, TN,53,0,1,0
Data Analyst,99-132 ,4.9,"Timonium, MD",51 to 200 employees,Subsidiary or Business Segment,Video Games,Media, MD,7,0,0,1
